DATE,LABPPRIVSA
2009-03-01,929.5742233565641
2009-04-01,836.1440437937609
2009-05-01,1081.21971484366
2009-06-01,1258.3513631395301
2009-07-01,1070.70694289908
2009-08-01,1060.4119676752
2009-09-01,1090.5669760331
2009-10-01,1040.83950898041
2009-11-01,878.396370103502
2009-12-01,1032.1873751047801
2010-01-01,806.001429829646
2010-02-01,882.269432030028
2010-03-01,1118.4719637179599
2010-04-01,1067.88319657801
2010-05-01,820.8500133717689
2010-06-01,798.5071802273441
2010-07-01,840.908142370469
2010-08-01,844.328133280173
2010-09-01,970.029033515139
2010-10-01,990.827440047112
2010-11-01,1020.8316631770698
2010-12-01,1104.23152404669
2011-01-01,925.1081307354319
2011-02-01,1013.28266540949
2011-03-01,1019.0069445172
2011-04-01,1048.90904666692
2011-05-01,1260.51404429355
2011-06-01,1083.00723323366
2011-07-01,853.835323967826
2011-08-01,996.2129856338299
2011-09-01,844.5645725354269
2011-10-01,938.220811105871
2011-11-01,1052.8596085768902
2011-12-01,1008.34043541651
2012-01-01,1012.2271351395401
2012-02-01,1063.55696224706
2012-03-01,986.944082309686
2012-04-01,993.8170787399511
2012-05-01,1005.99362826563
2012-06-01,955.583780834749
2012-07-01,1050.04230791238
2012-08-01,1047.97044792156
2012-09-01,1099.9980104603098
2012-10-01,1258.4453425270199
2012-11-01,1483.5650104540698
2012-12-01,1104.9099435697801
2013-01-01,1227.88696504976
2013-02-01,1269.9847342243902
2013-03-01,1215.35506279014
2013-04-01,1288.5645712266698
2013-05-01,1178.09724038246
2013-06-01,1082.9026379297802
2013-07-01,1198.58170119841
2013-08-01,1244.88292509394
2013-09-01,1097.01468165078
2013-10-01,1067.7194333017599
2013-11-01,1228.81175537976
2013-12-01,1405.1710434426998
2014-01-01,1149.65551684106
2014-02-01,1378.4743658449697
2014-03-01,1090.60322660345
2014-04-01,1151.86276938312
2014-05-01,1159.34584250372
2014-06-01,1100.8471388463302
2014-07-01,1214.38217424368
2014-08-01,1207.25398585581
2014-09-01,1417.4480130520099
2014-10-01,1478.58247805457
2014-11-01,1094.048285041
2014-12-01,1231.64431723654
2015-01-01,1172.08524461154
2015-02-01,1768.0551939410602
2015-03-01,1169.3976409255001
2015-04-01,1202.34687488892
2015-05-01,1157.6918662477499
2015-06-01,1196.6093452715
2015-07-01,1381.45708824876
2015-08-01,991.961375143027
2015-09-01,1225.14015019383
2015-10-01,1327.03206569949
2015-11-01,1181.7476607039698
2015-12-01,1523.1028276550699
2016-01-01,1224.38890305401
2016-02-01,1117.55797300735
2016-03-01,1167.55272310262
2016-04-01,1059.24803033702
2016-05-01,1255.63386274033
2016-06-01,1443.2126338117002
2016-07-01,1032.9483574051199
2016-08-01,1424.87278575358
2016-09-01,1914.16440930828
2016-10-01,1218.42571884207
2016-11-01,1285.49944506583
2016-12-01,1269.8745272399
2017-01-01,1253.38898804771
2017-02-01,1192.38865298191
2017-03-01,1331.9551664083099
2017-04-01,1119.75251432138
2017-05-01,1323.8003894562598
2017-06-01,1144.81900281312
2017-07-01,1118.33669186464
2017-08-01,1154.44223187225
2017-09-01,1127.7563187870599
2017-10-01,1138.87243220858
2017-11-01,2829.4591608866103
2017-12-01,1040.1398476824302
2018-01-01,1300.67498542214
2018-02-01,1084.4754844786999
2018-03-01,1285.5222337868302
2018-04-01,1403.05727888672
2018-05-01,1644.89341695233
2018-06-01,1189.3992873901
2018-07-01,1124.5235318201599
2018-08-01,1627.56211079931
2018-09-01,1325.71708808707
2018-10-01,1268.83821084431
2018-11-01,1226.20677933845
2018-12-01,1176.03783038112
2019-01-01,1252.29539458255
2019-02-01,1441.2013467967001
2019-03-01,1310.6909167592
2019-04-01,1363.34682810427
2019-05-01,1294.61206084106
2019-06-01,1047.16897998485
2019-07-01,1422.92084964992
2019-08-01,1383.41968207361
2019-09-01,1421.71992296182
2019-10-01,1488.80950557773
2019-11-01,1405.1929994960199
2019-12-01,1336.45861058102
2020-01-01,1383.9241555969597
2020-02-01,1381.80558635743
2020-03-01,1444.12104535786
2020-04-01,1127.1692101896901
2020-05-01,1190.1691643880902
2020-06-01,1444.7088154339099
2020-07-01,1523.4908399215199
2020-08-01,1496.73433220336
2020-09-01,1552.65276194345
2020-10-01,1574.4865356143698
2020-11-01,1667.04456067246
2020-12-01,1844.40941779841
2021-01-01,1639.12122831863
2021-02-01,1532.9672780881301
2021-03-01,1702.11630927525
2021-04-01,2283.9932894258604
2021-05-01,1608.8674934647502
2021-06-01,1822.6221655304603
2021-07-01,1512.87731858948
2021-08-01,1424.7209065686402
2021-09-01,1422.0919833689802
2021-10-01,1487.69589278632
2021-11-01,1670.3154363405
2021-12-01,1706.31963583475
2022-01-01,1651.4008616466901
2022-02-01,1745.78985813939
2022-03-01,1337.28641755434
2022-04-01,1475.19943521791
2022-05-01,1487.9601674691698
2022-06-01,1523.0907494850699
2022-07-01,1458.87454695799
2022-08-01,1363.85537578565
2022-09-01,1200.31012988156
2022-10-01,1196.2399458598402
2022-11-01,1175.84673282162
2022-12-01,1126.70968245748
2023-01-01,1526.6577263678198
2023-02-01,1071.39132149783
