DATE,COBPPRIVSA
2021-07-01,4703.4734629999
2021-08-01,5438.78139170945
2021-09-01,5197.42473746899
2021-10-01,4726.55322872825
2021-11-01,5569.860262007571
2021-12-01,5311.7071581068
2022-01-01,4473.73587787311
2022-02-01,5123.40273005206
2022-03-01,5265.35717409674
2022-04-01,4208.62850931152
2022-05-01,4722.737329465251
2022-06-01,4605.00563235913
2022-07-01,3916.23362893063
2022-08-01,3609.5285119801
2022-09-01,3515.4261641871303
2022-10-01,2988.6725461000105
2022-11-01,2961.70371406963
2022-12-01,2826.81281014164
2023-01-01,3534.53485679266
2023-02-01,3645.5966466773298
