DATE,MNBPPRIVSA
2003-03-01,2708.70685785238
2003-04-01,3241.4066484321697
2003-05-01,3131.06162200787
2003-06-01,3206.69685697625
2003-07-01,3473.40353694521
2003-08-01,3349.4119635944503
2003-09-01,3668.6681679185704
2003-10-01,3382.4821908334497
2003-11-01,3351.9077699506
2003-12-01,3907.2094312122294
2004-01-01,2913.75024146855
2004-02-01,3173.49187928492
2004-03-01,3323.99452369479
2004-04-01,3464.71522735409
2004-05-01,3428.14528868735
2004-06-01,3613.4262481633295
2004-07-01,3109.74539243857
2004-08-01,3625.31817213284
2004-09-01,3451.07856718136
2004-10-01,3404.91817543786
2004-11-01,3318.60913228716
2004-12-01,3457.25528949048
2005-01-01,2856.74794270567
2005-02-01,2973.9788168196
2005-03-01,2839.3267336210497
2005-04-01,3332.8388448495
2005-05-01,3103.22555998336
2005-06-01,3004.6969658946
2005-07-01,3013.86109292768
2005-08-01,2935.50841952039
2005-09-01,2927.44200950201
2005-10-01,3158.44709449362
2005-11-01,3676.32954954745
2005-12-01,2106.22811430078
2006-01-01,2874.40461607397
2006-02-01,3210.1119457653804
2006-03-01,3126.7464589105102
2006-04-01,2252.22884765457
2006-05-01,2278.14325305211
2006-06-01,2498.8411997971602
2006-07-01,2258.7402124228
2006-08-01,2102.22748641619
2006-09-01,2109.45790291264
2006-10-01,1693.5642481375799
2006-11-01,1799.54698171318
2006-12-01,2036.5741800123603
2007-01-01,2049.51300620402
2007-02-01,1575.49059529469
2007-03-01,1706.2217864766599
2007-04-01,1638.48891037366
2007-05-01,1556.38303742245
2007-06-01,1405.53289067586
2007-07-01,2035.46481403506
2007-08-01,1379.63742095041
2007-09-01,1202.5157985698402
2007-10-01,1247.13564978816
2007-11-01,1216.12278216084
2007-12-01,833.6655945755659
2008-01-01,983.1799181164771
2008-02-01,857.061863682371
2008-03-01,851.473963050224
2008-04-01,936.3830747602699
2008-05-01,1022.34742206232
2008-06-01,997.621280055566
2008-07-01,937.170568241202
2008-08-01,807.192751231352
2008-09-01,1202.38074808104
2008-10-01,780.6956127110479
2008-11-01,509.365449826001
2008-12-01,633.458106235478
2009-01-01,1600.7706087165802
2009-02-01,975.8370336502029
2009-03-01,413.392100118458
2009-04-01,569.332876984777
2009-05-01,676.3386996501509
2009-06-01,705.45501435487
2009-07-01,797.3066118820379
2009-08-01,730.6421577137801
2009-09-01,816.1571333326241
2009-10-01,821.138447731174
2009-11-01,762.627471994425
2009-12-01,852.827931161078
2010-01-01,441.66298703225897
2010-02-01,1009.4227921398
2010-03-01,1141.21599754256
2010-04-01,913.431364554342
2010-05-01,971.1220870114281
2010-06-01,643.22724461747
2010-07-01,593.597634188104
2010-08-01,904.16492208019
2010-09-01,548.365899663947
2010-10-01,1015.3620363145801
